[2026/04/27 15:53:49] 自動運行 | 地圖: 學校 大門 | 自我介紹
[2026/04/27 15:54:44] 自動運行 | 地圖: 荷蘭時代的台江內海 | 漢人哀愁3
[2026/04/27 15:54:44] 自動運行 | 地圖: 荷蘭時代的台江內海 | 漢人哀愁4
[2026/04/27 15:54:44] 自動運行 | 地圖: 荷蘭時代的台江內海 | 漢人哀愁5
[2026/04/27 15:54:49] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王1
[2026/04/27 15:54:50] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王2
[2026/04/27 15:54:50] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王3
[2026/04/27 15:54:50] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王4
[2026/04/27 15:54:50] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王5
[2026/04/27 15:54:51] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王6_年份
[2026/04/27 15:54:51] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王7
[2026/04/27 15:54:51] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王8
[2026/04/27 15:54:51] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王9
[2026/04/27 15:54:51] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王10
[2026/04/27 15:54:54] 自動運行 | 地圖: 荷蘭時代的台江內海 | 伯伯問路
[2026/04/27 15:54:55] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王11
[2026/04/27 15:54:55] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王12
[2026/04/27 15:54:55] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王13
[2026/04/27 15:54:56] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王13
[2026/04/27 15:54:56] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王14
[2026/04/27 15:54:56] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王15
[2026/04/27 15:54:57] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王16
[2026/04/27 15:54:57] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王17
[2026/04/27 15:54:57] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走老王18
[2026/04/27 15:55:00] 點擊角色 | 地圖: 荷蘭時代的台江內海 | 往上走_張蘭
[2026/04/27 15:55:00] 點擊 | 地圖: 荷蘭時代的台江內海 | 往上走張蘭1
[2026/04/27 15:55:01] 點擊 | 地圖: 荷蘭時代的台江內海 | 往上走張蘭2
[2026/04/27 15:55:02] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民1
[2026/04/27 15:55:03] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民2
[2026/04/27 15:55:03] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民3
[2026/04/27 15:55:04] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民4
[2026/04/27 15:55:04] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民5
[2026/04/27 15:55:04] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民5_問怎麼了
[2026/04/27 15:55:08] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民5_問怎麼了1
[2026/04/27 15:55:08] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民5_問怎麼了2
[2026/04/27 15:55:08] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民5_問怎麼了3
[2026/04/27 15:55:08] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民5_問怎麼了4
[2026/04/27 15:55:09] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民5_問怎麼了_輸年份
[2026/04/27 15:55:14] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民5_輸對年份1
[2026/04/27 15:55:15] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民5_輸對年份2
[2026/04/27 15:55:15] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民5_輸對年份3
[2026/04/27 15:55:15] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民5_輸對年份4
[2026/04/27 15:55:15] 自動運行 | 地圖: 荷蘭時代的台江內海 | 原民5_輸對年份5
[2026/04/27 15:55:16] 自動運行 | 地圖: 荷蘭時代的台江內海 | 疑惑郭1
[2026/04/27 15:55:17] 自動運行 | 地圖: 荷蘭時代的台江內海 | 疑惑郭2
[2026/04/27 15:55:17] 自動運行 | 地圖: 荷蘭時代的台江內海 | 疑惑郭3
[2026/04/27 15:55:17] 自動運行 | 地圖: 荷蘭時代的台江內海 | 漢人阿姨_張蘭_探究郭1
[2026/04/27 15:55:18] 進入地圖 | 地圖: 荷蘭時代的台江內海
[2026/04/27 15:55:19] 自動運行 | 地圖: 荷蘭時代的台江內海 | 漢人阿姨_張蘭_探究郭2
[2026/04/27 15:55:19] 自動運行 | 地圖: 荷蘭時代的台江內海 | 漢人阿姨_張蘭_探究郭3
[2026/04/27 15:55:19] 自動運行 | 地圖: 荷蘭時代的台江內海 | 漢人阿姨_張蘭_探究郭4
[2026/04/27 15:55:19] 自動運行 | 地圖: 荷蘭時代的台江內海 | 漢人阿姨_張蘭_探究郭5
[2026/04/27 15:55:20] 自動運行 | 地圖: 荷蘭時代的台江內海 | 漢人阿姨_張蘭_探究郭6
[2026/04/27 15:55:20] 場所移動 | 地圖: 荷蘭時代的台江內海 | 聚落外
[2026/04/27 15:55:20] 進入地圖 | 地圖: 聚落外
[2026/04/27 15:55:21] 點擊 | 地圖: 聚落外 | 聚落書精靈1
[2026/04/27 15:55:25] 進入地圖 | 地圖: 漢人聚落
[2026/04/27 15:55:27] 點擊 | 地圖: 漢人聚落 | 漢人碎片2_王芳_第一次1
[2026/04/27 15:55:28] 點擊 | 地圖: 漢人聚落 | 漢人碎片2_王芳_第一次2
[2026/04/27 15:55:29] 點擊 | 地圖: 漢人聚落 | 漢人碎片2_王芳_第一次3
[2026/04/27 15:55:29] 點擊 | 地圖: 漢人聚落 | 漢人碎片2_王芳_第一次4
[2026/04/27 15:55:29] 點擊 | 地圖: 漢人聚落 | 漢人碎片2_王芳_第一次5
[2026/04/27 15:55:30] 點擊 | 地圖: 漢人聚落 | 獲得漢人碎片2_王芳
[2026/04/27 15:55:32] 點擊 | 地圖: 漢人聚落 | 漢人碎片4_陳沖_第一次1
[2026/04/27 15:55:33] 點擊 | 地圖: 漢人聚落 | 漢人碎片4_陳沖_第一次2
[2026/04/27 15:55:33] 點擊 | 地圖: 漢人聚落 | 漢人碎片4_陳沖_第一次3
[2026/04/27 15:55:33] 點擊 | 地圖: 漢人聚落 | 漢人碎片4_陳沖_第一次4
[2026/04/27 15:55:34] 點擊 | 地圖: 漢人聚落 | 漢人碎片4_陳沖_第一次5
[2026/04/27 15:55:34] 點擊 | 地圖: 漢人聚落 | 漢人碎片4_陳沖_第一次6
[2026/04/27 15:55:35] 點擊 | 地圖: 漢人聚落 | 獲得漢人碎片4_陳沖
[2026/04/27 16:04:31] 點擊 | 地圖: 漢人聚落 | 漢人碎片1_甄平_第一次1
[2026/04/27 16:04:31] 點擊 | 地圖: 漢人聚落 | 漢人碎片1_甄平_第一次2
[2026/04/27 16:04:32] 點擊 | 地圖: 漢人聚落 | 漢人碎片1_甄平_第一次3
[2026/04/27 16:04:32] 點擊 | 地圖: 漢人聚落 | 漢人碎片1_甄平_第一次4
[2026/04/27 16:04:32] 點擊 | 地圖: 漢人聚落 | 漢人碎片1_甄平_第一次5
[2026/04/27 16:04:33] 點擊 | 地圖: 漢人聚落 | 獲得漢人碎片1_甄平
[2026/04/27 16:04:35] 點擊 | 地圖: 漢人聚落 | 漢人碎片5_林永傑_第一次1
[2026/04/27 16:04:36] 點擊 | 地圖: 漢人聚落 | 漢人碎片5_林永傑_第一次2
[2026/04/27 16:04:37] 點擊 | 地圖: 漢人聚落 | 漢人碎片5_林永傑_第一次3
[2026/04/27 16:04:37] 點擊 | 地圖: 漢人聚落 | 漢人碎片5_林永傑_第一次4
[2026/04/27 16:04:37] 點擊 | 地圖: 漢人聚落 | 漢人碎片5_林永傑_第一次5
[2026/04/27 16:04:37] 點擊 | 地圖: 漢人聚落 | 漢人碎片5_林永傑_第一次6
[2026/04/27 16:04:38] 點擊 | 地圖: 漢人聚落 | 漢人碎片5_林永傑_第一次7
[2026/04/27 16:04:38] 點擊 | 地圖: 漢人聚落 | 漢人碎片5_林永傑_第一次8
[2026/04/27 16:04:38] 點擊 | 地圖: 漢人聚落 | 漢人碎片5_林永傑_第一次9
[2026/04/27 16:04:39] 點擊 | 地圖: 漢人聚落 | 獲得漢人碎片5_林永傑
[2026/04/27 16:04:39] 點擊 | 地圖: 漢人聚落 | 漢人碎片5_林永傑_是否要丟
[2026/04/27 16:04:41] 點擊 | 地圖: 漢人聚落 | 拒絕丟掉漢人碎片5_林永傑
[2026/04/27 16:04:43] 點擊 | 地圖: 漢人聚落 | 漢人碎片4_陳沖_是否要丟
[2026/04/27 16:04:45] 點擊 | 地圖: 漢人聚落 | 丟掉漢人碎片4_陳沖
[2026/04/27 16:04:47] 點擊 | 地圖: 漢人聚落 | 漢人碎片4_陳沖_是否要獲得
[2026/04/27 16:04:49] 點擊 | 地圖: 漢人聚落 | 獲得漢人碎片4_陳沖
[2026/04/27 16:04:52] 進入地圖 | 地圖: 聚落外
[2026/04/27 16:04:57] 進入地圖 | 地圖: 荷蘭人聚落
[2026/04/27 16:04:58] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片1_馬可_第一次1
[2026/04/27 16:04:59] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片1_馬可_第一次2
[2026/04/27 16:04:59] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片1_馬可_第一次3
[2026/04/27 16:04:59] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片1_馬可_第一次4
[2026/04/27 16:05:00] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片1_馬可_選擇題
[2026/04/27 16:05:00] 選擇 | 地圖: 荷蘭人聚落 | A
[2026/04/27 16:05:01] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片1_馬可_第一次1
[2026/04/27 16:05:02] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片1_馬可_第一次2
[2026/04/27 16:05:02] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片1_馬可_第一次3
[2026/04/27 16:05:02] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片1_馬可_第一次4
[2026/04/27 16:05:03] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片1_馬可_選擇題
[2026/04/27 16:05:03] 選擇 | 地圖: 荷蘭人聚落 | B
[2026/04/27 16:05:04] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片1_馬可_第一次5
[2026/04/27 16:05:05] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片1_馬可_第一次6
[2026/04/27 16:05:05] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片1_馬可_第一次7
[2026/04/27 16:05:05] 點擊 | 地圖: 荷蘭人聚落 | 獲得荷蘭碎片1_馬可
[2026/04/27 16:05:07] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片2_比利_第一次1
[2026/04/27 16:05:08] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片2_比利_第一次2
[2026/04/27 16:05:14] 進入地圖 | 地圖: 荷蘭人聚落
[2026/04/27 16:05:14] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片2_比利_第一次3
[2026/04/27 16:05:14] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片2_比利_第一次4
[2026/04/27 16:05:15] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片2_比利_第一次5
[2026/04/27 16:05:15] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片2_比利_第一次6
[2026/04/27 16:05:15] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片2_比利_第一次7
[2026/04/27 16:05:16] 點擊 | 地圖: 荷蘭人聚落 | 獲得荷蘭碎片2_比利
[2026/04/27 16:05:23] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片3and4_肯尼_第一次1
[2026/04/27 16:05:24] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片3and4_肯尼_第一次2
[2026/04/27 16:05:24] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片3and4_肯尼_第一次3
[2026/04/27 16:05:24] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片3and4_肯尼_第一次4
[2026/04/27 16:05:24] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片3and4_肯尼_第一次5
[2026/04/27 16:05:26] 點擊 | 地圖: 荷蘭人聚落 | 獲得荷蘭碎片3and4_肯尼
[2026/04/27 16:05:27] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片5_伊莉莎白_第一次1
[2026/04/27 16:05:28] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片5_伊莉莎白_第一次2
[2026/04/27 16:05:29] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片5_伊莉莎白_第一次3
[2026/04/27 16:05:29] 點擊 | 地圖: 荷蘭人聚落 | 獲得荷蘭碎片5_伊莉莎白
[2026/04/27 16:05:36] 進入地圖 | 地圖: 聚落外
[2026/04/27 16:05:40] 進入地圖 | 地圖: 原住民家
[2026/04/27 16:05:42] 點擊 | 地圖: 原住民家 | 原民碎片2and3_哈維_第一次1
[2026/04/27 16:05:42] 點擊 | 地圖: 原住民家 | 原民碎片2and3_哈維_第一次2
[2026/04/27 16:05:43] 點擊 | 地圖: 原住民家 | 原民碎片2and3_哈維_第一次3
[2026/04/27 16:05:43] 點擊 | 地圖: 原住民家 | 原民碎片2and3_哈維_第一次4
[2026/04/27 16:05:43] 點擊 | 地圖: 原住民家 | 原民碎片2and3_哈維_第一次5
[2026/04/27 16:05:43] 點擊 | 地圖: 原住民家 | 原民碎片2and3_哈維_第一次6
[2026/04/27 16:05:44] 點擊 | 地圖: 原住民家 | 獲得原民碎片2and3_哈維
[2026/04/27 16:05:47] 點擊 | 地圖: 原住民家 | 原民碎片5_阿邦_第一次1
[2026/04/27 16:05:48] 點擊 | 地圖: 原住民家 | 原民碎片5_阿邦_第一次2
[2026/04/27 16:05:48] 點擊 | 地圖: 原住民家 | 原民碎片5_阿邦_第一次3
[2026/04/27 16:05:49] 點擊 | 地圖: 原住民家 | 原民碎片5_阿邦_第一次4
[2026/04/27 16:05:49] 點擊 | 地圖: 原住民家 | 原民碎片5_阿邦_第一次5
[2026/04/27 16:05:49] 點擊 | 地圖: 原住民家 | 原民碎片5_阿邦_第一次6
[2026/04/27 16:05:50] 點擊 | 地圖: 原住民家 | 獲得原民碎片5_阿邦
[2026/04/27 16:05:52] 點擊 | 地圖: 原住民家 | 原民碎片4_菈谷_第一次1
[2026/04/27 16:05:53] 點擊 | 地圖: 原住民家 | 原民碎片4_菈谷_第一次2
[2026/04/27 16:05:53] 點擊 | 地圖: 原住民家 | 原民碎片4_菈谷_第一次3
[2026/04/27 16:05:53] 點擊 | 地圖: 原住民家 | 原民碎片4_菈谷_第一次4
[2026/04/27 16:05:53] 點擊 | 地圖: 原住民家 | 原民碎片4_菈谷_第一次5
[2026/04/27 16:05:56] 點擊 | 地圖: 原住民家 | 原民碎片1_納告_第一次1
[2026/04/27 16:05:56] 點擊 | 地圖: 原住民家 | 原民碎片1_納告_第一次2
[2026/04/27 16:05:59] 進入地圖 | 地圖: 聚落外
[2026/04/27 16:06:01] 點擊 | 地圖: 聚落外 | 聚落書精靈完成任務1
[2026/04/27 16:06:02] 點擊 | 地圖: 聚落外 | 聚落書精靈_收集到錯的碎片
[2026/04/27 16:06:06] 進入地圖 | 地圖: 荷蘭人聚落
[2026/04/27 16:06:09] 點擊 | 地圖: 荷蘭人聚落 | 荷蘭碎片5_伊莉莎白_是否要丟
[2026/04/27 16:06:10] 點擊 | 地圖: 荷蘭人聚落 | 丟掉荷蘭碎片5_伊莉莎白
[2026/04/27 16:06:13] 進入地圖 | 地圖: 聚落外
[2026/04/27 16:06:17] 點擊 | 地圖: 聚落外 | 聚落書精靈_還沒做完任務
[2026/04/27 16:06:21] 進入地圖 | 地圖: 原住民家
[2026/04/27 16:06:23] 點擊 | 地圖: 原住民家 | 原民碎片4_菈谷_是否要獲得
[2026/04/27 16:06:25] 點擊 | 地圖: 原住民家 | 獲得原民碎片4_菈谷
[2026/04/27 16:06:29] 點擊 | 地圖: 原住民家 | 原民碎片1_納告_是否要獲得
[2026/04/27 16:06:33] 進入地圖 | 地圖: 聚落外
[2026/04/27 16:06:35] 點擊 | 地圖: 聚落外 | 聚落書精靈完成任務1
[2026/04/27 16:06:36] 點擊 | 地圖: 聚落外 | 聚落書精靈_收集到錯的碎片
[2026/04/27 16:06:39] 進入地圖 | 地圖: 原住民家
[2026/04/27 16:06:41] 點擊 | 地圖: 原住民家 | 原民碎片4_菈谷_是否要丟
[2026/04/27 16:06:42] 點擊 | 地圖: 原住民家 | 丟掉原民碎片4_菈谷
[2026/04/27 16:06:44] 點擊 | 地圖: 原住民家 | 原民碎片1_納告_是否要獲得
[2026/04/27 16:06:45] 點擊 | 地圖: 原住民家 | 獲得原民碎片1_納告
[2026/04/27 16:06:49] 進入地圖 | 地圖: 聚落外
[2026/04/27 16:06:51] 點擊 | 地圖: 聚落外 | 聚落書精靈完成任務1
[2026/04/27 16:06:52] 點擊 | 地圖: 聚落外 | 聚落書精靈完成任務2
[2026/04/27 16:06:52] 點擊 | 地圖: 聚落外 | 聚落書精靈完成任務3
[2026/04/27 16:06:53] 進入地圖 | 地圖: 荷蘭時代的台江內海
[2026/04/27 16:06:53] 自動運行 | 地圖: 荷蘭時代的台江內海 | 找住處
[2026/04/27 16:06:58] 觸發 | 地圖: 荷蘭時代的台江內海 | 哭泣郭曉霞
[2026/04/27 16:07:00] 進入地圖 | 地圖: 荷蘭時代的台江內海
[2026/04/27 16:07:07] 場所移動 | 地圖: 荷蘭時代的台江內海 | 郭曉霞家
[2026/04/27 16:07:07] 進入地圖 | 地圖: 郭屁孩家
[2026/04/27 16:07:09] 自動運行 | 地圖: 郭屁孩家 | 郭奶1
[2026/04/27 16:07:12] 點擊 | 地圖: 郭屁孩家 | 郭奶奶1
[2026/04/27 16:07:14] 點擊 | 地圖: 郭屁孩家 | 郭奶奶_目睹暴力1
[2026/04/27 16:07:14] 點擊 | 地圖: 郭屁孩家 | 郭奶奶_目睹暴力2
[2026/04/27 16:07:14] 點擊 | 地圖: 郭屁孩家 | 郭奶奶_目睹暴力3
[2026/04/27 16:07:15] 點擊 | 地圖: 郭屁孩家 | 郭奶奶_目睹暴力4
[2026/04/27 16:07:18] 場所移動 | 地圖: 郭屁孩家 | 郭懷一夢
[2026/04/27 16:07:19] 進入地圖 | 地圖: 在郭奶家睡覺通靈
[2026/04/27 16:07:19] 自動運行 | 地圖: 在郭奶家睡覺通靈 | 郭懷一夢1
[2026/04/27 16:07:19] 自動運行 | 地圖: 在郭奶家睡覺通靈 | 郭懷一夢2
[2026/04/27 16:07:20] 自動運行 | 地圖: 在郭奶家睡覺通靈 | 郭懷一夢3
[2026/04/27 16:07:21] 自動運行 | 地圖: 在郭奶家睡覺通靈 | 郭懷一夢4
[2026/04/27 16:07:23] 自動運行 | 地圖: 在郭奶家睡覺通靈 | 郭懷一夢5
[2026/04/27 16:07:26] 自動運行 | 地圖: 在郭奶家睡覺通靈 | 郭懷一夢6
[2026/04/27 16:07:28] 自動運行 | 地圖: 在郭奶家睡覺通靈 | 郭懷一夢7
[2026/04/27 16:07:29] 自動運行 | 地圖: 在郭奶家睡覺通靈 | 郭懷一夢8
[2026/04/27 16:07:29] 自動運行 | 地圖: 在郭奶家睡覺通靈 | 郭懷一夢9
[2026/04/27 16:07:30] 場所移動 | 地圖: 在郭奶家睡覺通靈 | 夢醒
[2026/04/27 16:07:30] 進入地圖 | 地圖: 郭屁孩家
[2026/04/27 16:07:30] 自動運行 | 地圖: 郭屁孩家 | 夢醒
[2026/04/27 16:07:33] 場所移動 | 地圖: 郭屁孩家 | 尋求幫助的方法
[2026/04/27 16:07:34] 進入地圖 | 地圖: 荷蘭時代的台江內海
[2026/04/27 16:07:36] 觸發 | 地圖: 荷蘭時代的台江內海 | 找施琅迷路
[2026/04/27 16:07:49] 點擊 | 地圖: 荷蘭時代的台江內海 | 施琅1
[2026/04/27 16:07:50] 點擊 | 地圖: 荷蘭時代的台江內海 | 施琅2
[2026/04/27 16:07:50] 點擊 | 地圖: 荷蘭時代的台江內海 | 施琅3
[2026/04/27 16:07:51] 點擊 | 地圖: 荷蘭時代的台江內海 | 選擇幫助施琅1
[2026/04/27 16:07:54] 點擊 | 地圖: 荷蘭時代的台江內海 | 選擇幫助施琅_推薦小水路
[2026/04/27 16:07:55] 進入第二關 | 地圖: 荷蘭時代的台江內海
[2026/04/27 16:07:56] 進入地圖 | 地圖: 第二關(new)
[2026/04/27 16:07:56] 自動運行 | 地圖: 第二關(new) | 進入第二關
[2026/04/27 16:08:02] 進入地圖 | 地圖: 第二關(new)
[2026/04/27 16:08:03] 自動運行 | 地圖: 第二關(new) | 施琅報告1
[2026/04/27 16:08:04] 自動運行 | 地圖: 第二關(new) | 施琅報告2
[2026/04/27 16:08:04] 自動運行 | 地圖: 第二關(new) | 施琅報告3
[2026/04/27 16:08:04] 自動運行 | 地圖: 第二關(new) | 施琅報告4
[2026/04/27 16:08:04] 自動運行 | 地圖: 第二關(new) | 施琅報告5
[2026/04/27 16:08:06] 點擊 | 地圖: 第二關(new) | 西班牙人1
[2026/04/27 16:08:07] 點擊 | 地圖: 第二關(new) | 西班牙人2
[2026/04/27 16:08:07] 點擊 | 地圖: 第二關(new) | 西班牙人_問題1
[2026/04/27 16:08:08] 點擊 | 地圖: 第二關(new) | 西班牙人_問題1_錯誤
[2026/04/27 16:08:08] 點擊 | 地圖: 第二關(new) | 西班牙人_問題1
[2026/04/27 16:08:09] 點擊 | 地圖: 第二關(new) | 西班牙人_問題1_正確
[2026/04/27 16:08:09] 點擊 | 地圖: 第二關(new) | 西班牙人_問題2
[2026/04/27 16:08:10] 點擊 | 地圖: 第二關(new) | 西班牙人_問題2_錯誤
[2026/04/27 16:08:10] 點擊 | 地圖: 第二關(new) | 西班牙人_問題3
[2026/04/27 16:08:11] 點擊 | 地圖: 第二關(new) | 西班牙人_問題3_正確
[2026/04/27 16:08:11] 點擊 | 地圖: 第二關(new) | 西班牙人_問題4
[2026/04/27 16:08:12] 點擊 | 地圖: 第二關(new) | 西班牙人_問題4_正確
[2026/04/27 16:08:12] 點擊 | 地圖: 第二關(new) | 西班牙人_結論
[2026/04/27 16:08:17] 進入地圖 | 地圖: 第二關(new)
[2026/04/27 16:08:17] 自動運行 | 地圖: 第二關(new) | 問完鄭成功1
[2026/04/27 16:08:20] 自動運行 | 地圖: 第二關(new) | 問完鄭成功2
[2026/04/27 16:08:24] 進入地圖 | 地圖: 第二關(new)
[2026/04/27 16:08:24] 接觸 | 地圖: 第二關(new) | 出門
[2026/04/27 16:08:25] 進入地圖 | 地圖: 第二關(new)
[2026/04/27 16:08:26] 進入地圖 | 地圖: 第二關(new)
[2026/04/27 16:08:50] 自動 | 地圖: 第二關(new) | 搜尋芝龍1
[2026/04/27 16:08:51] 自動 | 地圖: 第二關(new) | 搜尋芝龍2
[2026/04/27 16:08:53] 自動 | 地圖: 第二關(new) | 搜尋芝龍_排序正確
[2026/04/27 16:08:54] 自動 | 地圖: 第二關(new) | 芝龍故事1
[2026/04/27 16:08:55] 自動 | 地圖: 第二關(new) | 芝龍故事2
[2026/04/27 16:08:55] 自動 | 地圖: 第二關(new) | 芝龍故事3
[2026/04/27 16:08:55] 自動 | 地圖: 第二關(new) | 芝龍故事4
[2026/04/27 16:08:55] 自動 | 地圖: 第二關(new) | 芝龍故事5
[2026/04/27 16:08:55] 自動 | 地圖: 第二關(new) | 芝龍故事6
[2026/04/27 16:08:56] 自動 | 地圖: 第二關(new) | 書精靈總結
[2026/04/27 16:08:56] 場所移動 | 地圖: 第二關(new) | 最後劇情
